PROGRAMA_ENTRADA_PIN,CAMPUS_PIN,TEC21_PIN,TOTAL_INICIAL,SEMESTRE_AVANCE_GENERACION,CAMPUS_INDICADOR,CAMPUS_INSCRIPCION,PROGRAMATERM,TRANSFERENCIA,TRANSFERENCIA_TEMPORAL,ES_CLINICA,TOTAL_AGRUPACION,GENERACION,TERM,PERFIL
ICT,Guadalajara,1,0.45454545454545453,1,Guadalajara,Guadalajara,ICT,false,false,false,0.45454545454545453,202911,202911,NA
NEG,Guadalajara,1,0.6363636363636364,1,Guadalajara,Guadalajara,NEG,false,false,false,0.6363636363636364,202911,202911,NA
AMC,Puebla,1,0.36363636363636365,1,Puebla,Puebla,AMC,false,false,false,0.36363636363636365,202911,202911,NA
NEG,Morelia,1,0.0,1,Morelia,Morelia,NEG,false,false,false,0.0,202911,202911,TEC A+
ESC,Puebla,1,0.0,1,Puebla,Puebla,ESC,false,false,false,0.0,202911,202911,TEC A+
IIT,Querétaro,1,0.18181818181818182,1,Querétaro,Querétaro,IIT,false,false,false,0.18181818181818182,202911,202911,NO TEC A
ESC,San Luis Potosí,1,0.0,1,San Luis Potosí,San Luis Potosí,ESC,false,false,false,0.0,202911,202911,TEC B
ICT,Estado de México,1,0.18181818181818182,1,Estado de México,Estado de México,ICT,false,false,false,0.18181818181818182,202911,202911,NO TEC B
ESC,Monterrey,1,1.9090909090909092,1,Monterrey,Monterrey,ESC,false,false,false,1.9090909090909092,202911,202911,NO TEC B
NEG,Cuernavaca,1,0.0,1,Cuernavaca,Cuernavaca,NEG,false,false,false,0.0,202911,202911,TEC C
IIT,Guadalajara,1,0.18181818181818182,1,Guadalajara,Guadalajara,IIT,false,false,false,0.18181818181818182,202911,202911,NO TEC C
IIT,Tampico,1,0.0,1,Tampico,Tampico,IIT,false,false,false,0.0,202911,202911,NO TEC C
NEG,Querétaro,1,0.36363636363636365,1,Querétaro,Querétaro,NEG,false,false,false,0.36363636363636365,202911,202911,TEC D
NEG,Ciudad Juárez,1,0.0,1,Ciudad Juárez,Ciudad Juárez,NEG,false,false,false,0.0,202911,202911,NO TEC D
IIT,Sinaloa,1,0.0,1,Sinaloa,Sinaloa,IIT,false,false,false,0.0,202911,202911,NO TEC D
AMC,Estado de México,1,0.0,1,Estado de México,Estado de México,AMC,false,false,false,0.0,202911,202911,NA
NEG,Hidalgo,1,0.0,1,Hidalgo,Hidalgo,NEG,false,false,false,0.0,202911,202911,NA
CIS,León,1,0.0,1,León,León,CIS,false,false,false,0.0,202911,202911,NA
ESC,Santa Fe,1,0.45454545454545453,1,Santa Fe,Santa Fe,ESC,false,false,false,0.45454545454545453,202911,202911,NA
IBQ,Tampico,1,0.0,1,Tampico,Tampico,IBQ,false,false,false,0.0,202911,202911,NO TEC A+
ICT,Santa Fe,1,0.2727272727272727,1,Santa Fe,Santa Fe,ICT,false,false,false,0.2727272727272727,202911,202911,TEC A
ESC,Cuernavaca,1,0.0,1,Cuernavaca,Cuernavaca,ESC,false,false,false,0.0,202911,202911,TEC B
ICI,Querétaro,1,0.0,1,Querétaro,Querétaro,ICI,false,false,false,0.0,202911,202911,TEC B
NEG,Toluca,1,0.0,1,Toluca,Toluca,NEG,false,false,false,0.0,202911,202911,NO TEC B
IIT,San Luis Potosí,1,0.0,1,San Luis Potosí,San Luis Potosí,IIT,false,false,false,0.0,202911,202911,TEC C
IBQ,Sonora Norte,1,0.0,1,Sonora Norte,Sonora Norte,IBQ,false,false,false,0.0,202911,202911,TEC C
ICT,Puebla,1,0.0,1,Puebla,Puebla,ICT,false,false,false,0.0,202911,202911,NO TEC D
IBQ,Sonora Norte,1,0.0,1,Sonora Norte,Sonora Norte,IBQ,false,false,false,0.0,202911,202911,NA
NEG,Guadalajara,1,0.6363636363636364,1,Guadalajara,Guadalajara,NEG,false,false,false,0.6363636363636364,202911,202911,NO TEC A+
NEG,Tampico,1,0.0,1,Tampico,Tampico,NEG,false,false,false,0.0,202911,202911,TEC A
ESC,San Luis Potosí,1,0.0,1,San Luis Potosí,San Luis Potosí,ESC,false,false,false,0.0,202911,202911,NO TEC A
ESC,Querétaro,1,0.45454545454545453,1,Querétaro,Querétaro,ESC,false,false,false,0.45454545454545453,202911,202911,TEC B
ESC,Toluca,1,0.0,1,Toluca,Toluca,ESC,false,false,false,0.0,202911,202911,NO TEC B
IIT,Saltillo,1,0.0,1,Saltillo,Saltillo,IIT,false,false,false,0.0,202911,202911,NO TEC A+
ICT,Morelia,1,0.0,1,Morelia,Morelia,ICT,false,false,false,0.0,202911,202911,TEC A
IIT,Ciudad de México,1,1.0,1,Ciudad de México,Ciudad de México,IIT,false,false,false,1.0,202911,202911,NO TEC A
ICI,Morelia,1,0.0,1,Morelia,Morelia,ICI,false,false,false,0.0,202911,202911,TEC B
IIT,Morelia,1,0.0,1,Morelia,Morelia,IIT,false,false,false,0.0,202911,202911,TEC C
ICT,Santa Fe,1,0.2727272727272727,1,Santa Fe,Santa Fe,ICT,false,false,false,0.2727272727272727,202911,202911,TEC C
IBQ,Hidalgo,1,0.0,1,Hidalgo,Hidalgo,IBQ,false,false,false,0.0,202911,202911,NO TEC C
NEG,Sinaloa,1,0.0,1,Sinaloa,Sinaloa,NEG,false,false,false,0.0,202911,202911,NO TEC C
NEG,Ciudad de México,1,1.0909090909090908,1,Ciudad de México,Ciudad de México,NEG,false,false,false,1.0909090909090908,202911,202911,TEC A+
NEG,Chihuahua,1,0.0,1,Chihuahua,Chihuahua,NEG,false,false,false,0.0,202911,202911,NO TEC A+
